[1,1], [-73.56 -75.1 -63.46 -59.36 -78.66 -82.56 -66.42 -83.0]
[2,1], [-65.44 -65.62 -68.0 -58.72 -89.22 -79.72 -68.28 -75.02]
[3,1], [-71.3 -57.36 -60.5 -54.74 -82.2 -85.2 -67.54 -79.06]
[3,2], [-63.62 -59.5 -59.2 -52.8 -74.74 -78.56 -66.18 -80.02]
[2,2], [-53.74 -59.18 -65.88 -56.46 -82.84 -78.28 -70.54 -81.64]
[1,2], [-65.46 -64.92 -69.02 -60.06 -84.86 -81.04 -69.54 -79.28]
[1,3], [-69.96 -67.9 -69.2 -60.46 -86.96 -83.44 -76.62 -77.44]
[2,3], [-65.4 -68.04 -69.6 -58.58 -85.5 -84.04 -76.28 -76.46]
[3,3], [-71.68 -70.36 -67.76 -60.2 -89.68 -85.38 -82.16 -72.64]
[3,4], [-71.96 -68.74 -65.44 -55.86 -88.5 -82.5 -74.98 -76.16]
[2,4], [-69.8 -71.62 -67.48 -56.44 -89.72 -86.42 -77.62 -76.38]
[1,4], [-72.84 -67.9 -62.92 -59.26 -87.9 -82.2 -78.36 -77.04]
[1,5], [-69.02 -69.94 -63.7 -62.32 -88.44 -79.12 -75.72 -75.0]
[2,5], [-74.48 -70.7 -69.7 -61.98 -87.0 -80.74 -77.2 -79.54]
[3,5], [-69.28 -72.76 -64.68 -59.32 -87.1 -80.32 -79.44 -77.2]
[3,6], [-66.8 -69.14 -66.46 -61.6 -82.46 -82.72 -76.34 -75.5]
[2,6], [-74.96 -69.88 -66.72 -59.7 -86.36 -85.1 -74.98 -79.1]
[1,7], [-81.0 -69.8 -64.72 -62.28 -86.66 -85.0 -74.18 -78.7]
[2,7], [-71.72 -69.2 -67.04 -61.78 -82.98 -79.72 -73.72 -76.0]
[3,7], [-74.9 -74.74 -66.2 -63.58 -85.3 -76.84 -74.74 -81.14]
[3,8], [-71.94 -71.2 -68.1 -64.64 -86.34 -78.28 -72.5 -81.7]
[2,8], [-70.24 -70.48 -68.24 -66.6 -83.12 -78.5 -70.76 -79.02]
[1,8], [-71.8 -70.42 -70.98 -65.42 -82.12 -85.98 -77.14 -78.82]






